Course Name,Prerequisites,Credits,Course Length,Grade Year,is AP,is Honors,Course Description,Department,Number
ENGLISH ENRICHMENT 12 (103),Placement by English Department.,5.0,Full Year,,False,False,English Enrichment 12 (reading/writing) is a mandated course for those students who fell below the minimum level of proficiency on the New Jersey Graduation Proficiency Assessment (NJGPA) test in grade 11.  The course reviews the concepts needed for students to be successful on the State mandated assessments required for graduation.,English,56
ASIAN AMERICAN/PACIFIC ISLANDER (AAPI) STUDIES (158),Successful completion of English 1.,2.5,Semester,10-12,False,False,This semester course looks to deepen student appreciation for both the struggles and contributions of Asian Americans in our society both past and present.  Students will read a broad array of fiction and nonfiction texts as well as analyze a variety of art and music in order to consider what it means to be Asian American today.  By unpacking some of the stereotypes and depictions of Asians occuring in popular culture and the media over time students will deepen their understanding for the role that discrimination has played in shaping our history and culture. Students will trace the origins of Asian immigration to this country in order to explore the many strands of Asian American culture and identity in both the United States and abroad (countries of origin).,English,57
MEDIA LITERACY (134),Successful completion of English 1.,2.5,Semester,10-12,False,False,Media literacy is a class that will teach students to engage actively and critically with various forms of media to evaluate their messages and learn to become more active consumers and independent thinkers.  They will deconstruct a wide range of news articles photographs advertisements websites television shows and movies.  In a world that has become ever more saturated with content derived from digital sources and social media our definition of literacy continues to evolve and notions of what is truthful and real and what is misleading and unreliable becomes increasingly complex.  Navigating our popular media landscape presents many challenges and opportunities for today’s youth as they learn how media can be a powerful tool for shaping our perceptions and as such they will learn how to manage and create their own content as informed citizens in a democratic society.,English,58
FASHION 1 (711),None.,5.0,Full Year,9-12,False,False,Fashion 1 introduces students to the exciting world of fashion through garment construction study of consumer influences trends and career opportunities. Students explore the basics of the fashion industry fashion design and textiles.  Students have the opportunity to design and construct an outfit of their choice.  Other topics included in this course are the global influences on marketing fashion retailing and e-commerce.,Family Consumer Science,59
FASHION 2 (721),Successful completion of Fashion 1.,5.0,Full Year,10-12,False,False,Fashion 2 provides students with further exploration into original design designer fabrics advanced pattern-making techniques and current trends in visual merchandising.  Students will expand their knowledge of fashion textiles and clothing.  Opportunities for fashion retailing promotion and planning special events will give the student a better understanding of business ventures.,Family Consumer Science,60
FOODS AND NUTRITION (722),None.,5.0,Full Year,10-12,False,False,Foods and Nutrition provides students with an understanding of how Nutrition is a key component of overall health and wellness. Through awareness and exploration of personal eating patterns students will reflect on what impacts their eating patterns and how to use strategies to select healthy food choices. Cooperative learning hands-on food labs instructor demonstrations and guided instruction are used throughout the course to assist students in understanding how to select plan and prepare nutritious food. There is a strong emphasis on critical thinking problem solving and teamwork. Building a healthy lifestyle involves selecting healthy food choices and remaining an informed consumer.,Family Consumer Science,61
INTERIOR DESIGN (712),None.,2.5,Semester,9-12,False,False,Interior Design is an entry-level course which involves the study of personal priorities in housing house styles basic principles in design and color and space utilization for in-home business needs.  Students use decision-making and creative skills in applying these principles when choosing colors furniture fabrics floor covering and other materials and when designing floor plans.  This course introduces students to the variety of careers related to the field of interior design.,Family Consumer Science,62
HOTEL AND RESTAURANT MANAGEMENT (720),Foods and Nutrition.,2.5,Semester,11-12,False,False,Hotel and Restaurant Management introduces students to the hospitality industry.  Students gain an insight into the fundamentals economics operations trends and career opportunities of this field.  Current trends in the travel and tourism industry are explored.  Hotel and Restaurant Management introduces students to the hospitality industry while also exploring the etiquette and customs of various countries. Students gain knowledge of the different segments of the hospitality industry: lodging food and beverage travel and tourism and recreation. A “look behind the scenes” of some of the industry’s most well-known theme parks restaurants and hotels enhance each unit of study. Career opportunities current trends and relevant topics related to the hospitality industry are explored. Hands-on learning experiences provide students with the opportunity to further develop their culinary skills and techniques while exploring the food and beverage segment of the hospitality industry.,Family Consumer Science,63
FAMILY AND CHILD DEVELOPMENT 1 (730),None.,2.5,Semester,10-12,False,False,Family and Child Development 1 provides students with the opportunity to explore and develop an understanding of human growth and development.  Students explore the various aspects of personality communication relationships skills associated with independence and creativity in adolescent and early child development.  This course explores methods for fostering creative problem-solving as related to career development marriage parenthood and childcare.  Lab experiences include working with preschool children.,Family Consumer Science,64
FAMILY AND CHILD DEVELOPMENT 2 (737),Successful completion of Family and Child Development 1.,2.5,Semester,10-12,False,False,Family and Child Development 2 expands on the content and experiences of Family Child Development 1 by focusing on the learning processes of young children.  Students will become familiar with developmental theories and how to apply them via the implementation of meaningful lessons/activities while working with young children.  Students will become familiar with the career opportunities available to them as they assume responsibility for meeting the specific needs of a group of children.  The lab portion of this course includes hands-on work such as the planning organizing and running of activities for primary elementary age students. This course is highly recommended for students pursuing careers in education social sciences nursing/medicine and/or being a parent.,Family Consumer Science,65
INDEPENDENT STUDY IN TECHNOLOGY (746 747),A minimum grade of B in one of the specified technology sequences is a good predictor for success in this course or demonstration of comparable proficiencies.,2.5,Semester,11-12,False,False,This course is offered to students who have successfully completed both Level 1 and Level 2 courses in one of the following areas:  Architecture/Engineering CAD Automotive Mechanics Technology and Design Fashion Visual/Graphic Communication or Woods/Stagecraft.  The student must contract with a sponsoring technology teacher in one of the areas specified.  The nature and detail of the work to be completed by the student must be mutually agreed upon prior to the beginning of the course.  This course is for students who intend to enter design-related competitions and/or develop a college admissions portfolio.,Family Consumer Science,66
ELEMENTARY EDUCATION EXPERIENCE (754),Successful completion of Family & Child Development 1.,5.0,Spring Semester Only,,False,False,Elementary Education Experience is a half-year course (spring semester only over the course of two periods) available to those seniors interested in pursuing a career in teaching.  Students enrolled in this program are assigned to work with a specific teacher at the elementary level.  During this experience students keep a journal about their classroom experiences create a portfolio and participate in a blog.  Students receive a pass/fail grade for the classroom experience. Students must be able to drive (or arrange transportation) to their worksite.,Family Consumer Science,67
LIFE HACKS & HABITS (753),None.,2.5,Semester,11-12,False,False,Life Hacks and Habits is for young adults bridging into the world following high school. The course focuses on enhancing the students' knowledge of the seven areas of executive functioning. As the components of executive functioning are studied learners will accumulate “hacks” techniques and strategies to support their successful transition to higher education or as they pursue a career path. The study of meaningful and relevant topics such as coping with and managing stress finding contentment while living mindfully and the areas of wellness provide students with knowledge about building emotional resilience. Students will investigate the structures of the brain and the neuroscience of executive functioning as they acquire skills and techniques to “rewire” the brain to positively support cognitive output sharpen mental acuity and boost overall achievement. The course will share routines for success that are grounded in recent research on forming Habits. Resources include Tiny Habits by BJ Fogg and the Power of Habits by Charles Duhigg.,Family Consumer Science,68
PHYSICAL EDUCATION 9/HEALTH 9 (015-1),None.,2.5,Semester,,False,False,In addition to Physical Education 9 this is the first course in the sequence of four required courses which comprise the comprehensive health and wellness education program.  This course provides students with the knowledge and skills to critically analyze the effects of personal decisions on growth and development and to engage in positive behaviors which maintain a healthy lifestyle.  The curriculum includes topics such as healthy relationships drugs and medicine nutrition and mental/emotional health which is inclusive of depression and suicide.  Through participation in a variety of instructional activities students enhance communication problem-solving and refusal skills.,Health and Physical Education,69
PHYSICAL EDUCATION 9 (015-2),None.,2.5,Semester,9,False,False,"Fitness 1: This course examines the 5 components of health related physical fitness: cardiorespiratory endurance body mass index muscular strength muscular endurance and flexibility. Using a variety of equipment and technology students will develop a personal fitness plan and work toward their fitness goals through the duration of the course. Students will know what exercises contribute to improvement of the components and be tested for each. Polar Bluetooth Heart Rate Monitors enable students to individualize their experience and track their level of effort based on time spent in target heart rate. Adventure I:  This course of study introduces students to the opportunity to engage in physical emotional and social challenges in a safe environment. The atmosphere facilitated by a certificated adventure instructor is both emotionally and physically designed for safety. As a result of their participation in Project Adventure students will learn teamwork communication conflict resolution cooperation and how to face risk. Prior to participation in the course parents/guardians will be asked to sign a liability waiver in order for students to participate in elements that are off the ground. Team Sports/Games: Students will participate in a variety of games and team activities that foster cooperation communication and teamwork. Strategies such as offense defense and invasion will be explored. Depending on the time of year activities may include but are not limited to: hockey team handball tchoukball ultimate Frisbee softball volleyball basketball football,soccer,tennis and wiffle ball. Body Awareness/Gymnastics: Students will learn general body awareness as they develop movement skills through different planes and rotate around different axes. Students will explore rhythm and lifetime physical activity through movement.",Health and Physical Education,70
PHYSICAL EDUCATION 10/DRIVER EDUCATION (025-1),Successful completion of Physical Education 9.,2.5,Semester,,False,False,This course provides instruction in the mechanical operation of the automobile basic driving techniques defensive driving strategies and the handling of driving emergencies.  A major portion of the course is devoted to learning the New Jersey motor vehicle laws and regulations for the State driver’s examination which is administered in class.  Alcohol and Drug prevention education refusal skills as well as decision-making skills are critical components of this course.  The topic of organ and tissue donation is addressed and students are made aware of the registration process via NJ MVC licensure.  All students take the NJ Motor Vehicle Commission driver’s/permit exam as one of the culminating activities for this course.,Health and Physical Education,71
PHYSICAL EDUCATION 10 (025-2),Successful completion of Physical Education 9.,2.5,Semester,10,False,False,Adventure II: This course of study continues to afford students the opportunity to engage in physical emotional and social challenges in a safe environment. The atmosphere facilitated by a certificated adventure instructor is both emotionally and physically designed for safety. As a result of their participation in Project Adventure students will learn teamwork communication conflict resolution cooperation and how to face risk. Prior to participation in the course parents/guardians will be asked to sign a liability waiver in order for students to participate in elements that are off the ground.Softball: This course introduces the sport of softball and the knowledge and skills associated with successful participation. Skills include throwing catching scoring base running and hitting. Fitness II: This course reinforces the 5 components of health related physical fitness: cardiorespiratory endurance body mass index muscular strength muscular endurance and flexibility. Using a variety of equipment and technology students will develop a personal fitness plan and work toward their fitness goals through the duration of the course. Students will know what exercises contribute to improvement of the components and be tested for each. Polar Bluetooth Heart Rate Monitors enable students to individualize their experience and track their level of effort based on time spent in target heart rate. Football: The course introduces the sport of football and the knowledge and skills associated with successful participation. Skills include throwing catching running kicking and punting.Volleyball:  The course introduces the sport of volleyball and the knowledge of skills associated with successful participation. Skills include serving bumping setting spiking and tactical positioning.Pickleball: The course will introduce the skills of the sport in cooperative play format while teaching strategy history rules and etiquette.,Health and Physical Education,72
PHYSICAL EDUCATION 11 (035-1),Successful completion of Physical Education 10.,2.5,Semester,11,False,False,Golf: This course offers students the opportunity to engage in a variety of skill development including holding the club body position driving putting and chipping.  Students will also learn about golf etiquette rules and scoring. Using a variety of equipment and technology students will improve their skills and understanding of the game of golf. The course uses video-analysis to capture student performance and analyze skill cues to help students improve their game.Adventure III:  This course of study continues to give students the opportunity to engage in physical emotional and social challenges in a safe environment. The atmosphere facilitated by a certificated adventure instructor is designed to support emotional and physical safety. As a result of their participation in the Adventure course students will utilize the skill of teamwork communication conflict resolution cooperation and how to face risk. Prior to participation in the course parents/guardians will be asked to sign a liability waiver in order for students to participate in elements that occur off the ground.Archery I: Students will be introduced to Archery as an individual physical activity. Trained instructors will guide students through the cues for shooting at a target. Foundational strategies to support safety and protocols for participation will also be explored. Students will have opportunities to engage in self-reflection and set goals for improving their archery game.,Health and Physical Education,73
PHYSICAL EDUCATION/HEALTH 11 (035-2),Successful completion of Physical Education 10.,2.5,Semester,,False,False,This course encompasses several components of the comprehensive health education model including injury prevention and safety drugs and medicine human sexuality health promotion and disease prevention.  The major portion of this course is devoted to the attainment of the skills and knowledge for responding in emergencies. The American Red Cross Course First Aid/CPR/AED for Community and Schools resources serves as the basis for the curriculum.  At the end of the unit all students who have shown mastery are given the opportunity to apply for ARC certification (for a nominal fee).  Additionally students will research and analyze current drug trends and the process of addiction.  Through participation in group presentations students will enhance communication problem-solving and refusal skills.,Health and Physical Education,74
PHYSICAL EDUCATION 12 (045-1),Successful completion of Physical Education 11.,2.5,Semester,12,False,False,Badminton: The course examines the rules of Badminton scoring boundaries technique and etiquette. Proper technique will be examined including hand grip for serving backhand forehand overhead slam and underhand. The course uses a variety of equipment and technology including videos of proper technique. Students will know how to hold and grip the racquet keep score and how to self-assess and provide supportive peer feedback.Archery II: Students will be introduced to Archery as an individual physical activity. Trained instructors will guide students through the cues for shooting at a target. Foundational strategies to support safety and protocols for participation will continue to be explored. Team Games:  Students will participate in a variety of games and team activities that foster cooperation communication and teamwork. Strategies such as offense defense and invasion will be explored. Depending on the time of year activities may include but are not limited to: pillow polo hockey (soft stick hockey) team handball tchoukball softball volleyball basketball football ultimate frisbee soccer and cricket.,Health and Physical Education,75
PHYSICAL EDUCATION/HEALTH 12 (045-2),Successful completion of Physical Education 11.,2.5,Semester,,False,False,This course continues to build on the comprehensive health education model by further addressing relationships and marriage pregnancy childbirth and family drugs and medicine disease and wellness.  Students analyze the components needed to build a foundation for stable healthy relationships. Students will be able to identify the aspects of unhealthy relationships.  Students examine the roles and responsibilities of parenting and environmental aspects of pregnancy and childbirth in order to prepare for a possible future role as parents of healthy offspring.  Current and topical health issues such as cancer-prevention education are emphasized during this course.,Health and Physical Education,76
ADAPTED PHYSICAL EDUCATION & GENERAL HEALTH (055),Recommendation by the Child Study Team.,5.0,Full Year,9-12,False,False,This course is designed for students who require a modified program to meet the physical education and health requirements.  The course integrates health and physical education concepts to allow maximum participation in a supportive and safe environment. The program activities include fitness activities lifetime sports and inclusion in regular physical education activities within students’ capabilities.  At times a more individualized program may be developed and prescribed.  Parents are advised to consult with the Child Study Team for any potential program modifications as early as possible in the scheduling process.,Health and Physical Education,77
DANCE 1 (065),None.,2.5,Semester,9-12,False,False,This course is an introductory course for all students who wish to study dance as an art form and express themselves through movement. Coursework will be both participatory and theoretical including but not limited to experiencing dance techniques such as ballet modern jazz and hip hop dance. Experiences primarily reflect a studio dance technique where topics and concepts are interlaced and an ongoing part of the daily technique classwork in all units. In addition to physically taking class on a daily basis students will also gain knowledge and aesthetic awareness of dance in its historical cultural and social contexts through the study of dance history in all genres of dance. An introduction to stretch and conditioning for dancers including the different types and importance of stretch and conditioning  will be introduced in this course as well as an overall understanding of wellness. Instructors will vary the coursework sequence to reflect student needs and serve skill development. This course can be taken either in lieu of or in addition to a student’s full Physical Education semester.,Health and Physical Education,78
DANCE 2 (066),Dance 1.,2.5,Semester,10-12,False,False,This course is designed as an extension course to Dance 1. A great focus will be on expanding dance technique to a more accomplished degree. Instruction will focus on increasing understanding of individual style vernacular clarity of movement intention and delivery of artistic intent. Throughout this course various dance genres such as ballet modern jazz and hip hop will be explored at an intermediate level. Through a variety of skill assessments students will have the opportunity to work individually and collaboratively to design dance studies that integrate and combine movement vocabulary choreographic devices notation systems and dance structures drawn from a variety of dance genres. Instructors will continue to vary the coursework sequence to reflect student needs and serve skill development. This course can be taken either in lieu of or in addition to a student’s full Physical Education semester.,Health and Physical Education,79
DANCE 3 (067),Dance 2.,2.5,Semester,10-12,False,False,This course is designed as an extension to Dance 2 and Dance 3. A great focus will be on expanding dance technique to an advanced degree. A multitude of intermediate and advanced pieces of choreography and techniques from a variety of famous choreographers will be explored and demonstrated. Students will begin to analyze and understand the choreographic process by working individually and collaboratively to develop their own creative expression through improvisation choreography and performance while using a variety of movement vocabulary choreographic devices notation systems and dance structures drawn from a variety of dance genres. Instructors will continue to vary the coursework sequence to reflect student needs and serve skill development. This course can be taken either in lieu of or in addition to a student’s full Physical Education semester.,Health and Physical Education,80
DANCE 4 (068),Dance 3.,2.5,Semester,11-12,False,False,Dance 4 is an exploration of the creative process in choreography aimed at developing students' skills in crafting original dance works. This course dives into the principles concepts and tools required to conceive develop and stage dance pieces. Through a combination of theory and practical exercises students will learn to express themselves through movement and create compelling dance compositions in a variety of styles both individually in duets and in small groups. This course encourages artistic exploration self-expression and collaboration and helps prepare students to further expand their studies in dance.  This course can be taken either in lieu of or in addition to a student’s full Physical Education semester.,Health and Physical Education,81
GENERAL ALGEBRA 1 LAB (308),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,10.0,Full Year,9-12,False,False,Semester 1:1This course is designed for semester one of a two-part course series in Algebra for students in resource center math.  Topics include: algebraic expressions one-step equations exponential and radical expressions operations with polynomials factoring and practical word problems.  The foundation for this study is the structure of the real number system.  The first semester of this course will be taught in a double period which will include a lab component.  Upon completion of semester one and at the recommendation of the Child Study Team students in this class may be placed in either General Algebra 1 Lab Part 2 or General Algebra 1 (single period). Semester 2: General Algebra 1 Lab Part 2This course is taught in a double period which will include a lab component. It is designed for semester two of a two-part course series in Algebra for students in resource center math who are approaching readiness for algebraic thinking.  Topics include: linear functions and slope systems of equations and inequalities quadratic equations and functions and practical word problems.  The foundation for this study is the structure of the real number system.  Upon completion of this course and at the recommendation of the Child Study Team students who demonstrate algebraic readiness may be eligible for Geometry Lab CP or Geometry CP.  Semester 2: General Algebra 1 (single period)This course is taught in a single period. It is designed for semester two as continuation of the General Algebra sequence for students in the resource center mathematics program.  Topics include:  linear functions and slope systems of equations and inequalities and practical word problems.  The foundation for this study is the structure of the real number system.,Mathmatics,82
ALGEBRA 1 LAB CP (316),None.,10.0,Full Year,9-10,False,False,This college prep course is designed for students who wish to meet the Algebra 1 requirement for college entrance however may require additional support in both mathematics content and test-taking strategies. Topics include: solving linear equations and inequalities systems of equations and inequalities fundamental operations with monomial and polynomial expressions factoring solving quadratic equations graphing different types of functions radical expressions and practical word problems.  The foundation for this study is the structure of the real number system.  This course will be taught in a double period which will include a lab component.,Mathmatics,83
ALGEBRA 1 CP (312),None.,5.0,Full Year,9-12,False,False,This college preparatory course includes a study of the language of algebra solving linear equations and inequalities systems of equations and inequalities quadratic equations fundamental operations with monomials polynomial and radicals factoring graphing different types of functions and practical word problems.  The foundation for this study is the structure of the real number system.,Mathmatics,84
ALGEBRA 1 HONORS (313),None.,5.0,Full Year,,False,True,Completion of a summer assignment is required for this course. Algebra 1 Honors is a course designed for the well-motivated student who is capable of moving at an above average pace in mathematics.  Students in this class often are in transition from a standard math program to an accelerated program. A minimum grade of B+ or higher in 8th grade math and/or teacher recommendation are good predictors for success in this course.  The student’s performance in this ninth grade course will be one of the factors in determining placement in tenth grade.  Topics concepts and skills will be presented in greater depth than in Algebra 1 CP.,Mathmatics,85
GENERAL GEOMETRY (378),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,,False,False,This course is designed for students in resource center math who are approaching readiness for geometric and spatial thinking.  This course provides students with a modified Geometry curriculum in which emphasis is placed on developing students’ spatial and reasoning skills.  Students will learn about geometric notation definitions postulates and theorems.  Rather than proving theorems students will focus on applying geometric concepts related to points lines planes polygons circles and three-dimensional shapes.  Review of algebraic skills will be infused in lessons throughout the year to ensure students’ retention of concepts learned in General Algebra.,Mathmatics,86
GEOMETRY LAB CP (321),Successful completion of Algebra 1 or General Algebra 1 Lab and recommendation from the Child Study Team.,10.0,Full Year,9-12,False,False,This college prep course includes the study of plane and solid figures critical deductive and inductive reasoning and the axiomatic method of proof.  Numeric and algebraic applications are linked to the geometric concepts.  This course will be taught in a double period which includes a lab component.,Mathmatics,87
GEOMETRY CP (322),Successful completion of Algebra 1 or General Algebra 1 Lab and recommendation from the Child Study Team.,5.0,Full Year,9-12,False,False,This college prep course includes the study of plane and solid figures critical deductive and inductive reasoning and the axiomatic method of proof.  Numeric and algebraic applications are linked to the geometric concepts.   Students who intend to double up in Geometry and Algebra 2 must take both courses at the CP level.,Mathmatics,88
GEOMETRY HONORS (310),Successful completion of Algebra 1.,5.0,Full Year,,False,True,Completion of a summer assignment is required for this course. Topics studied in this challenging course include the study of plane and solid figures critical deductive and inductive reasoning and the axiomatic method of proof.  Students are expected to function at an abstract analytical level and be capable of independent thought.  It is assumed students in this course are moving in the accelerated track for their mathematics studies. Students should possess strong spatial aptitude and algebra skills.  A minimum grade of B+ or higher in 8th grade Algebra 1 or Algebra 1 Honors and teacher recommendation are good predictors for success in this course.  Students who intend to double up in Geometry and Algebra 2 must take both courses at the CP level. For students enrolling in an AP or Honors level Mathematics course for the first time: A one week LPS Bridge Course to support your transition to the rigor of this level of coursework is available during August 2025 as part of the LPS Summer Academy. Click here to learn more and check the LPS Website for more information and to register.,Mathmatics,89
GENERAL INTERMEDIATE ALGEBRA (379),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,11-12,False,False,This course is designed for students in resource center math who require instruction to further develop Algebra and Geometry skills.  General Intermediate Algebra expands upon the concepts learned in General Algebra and General Geometry to promote a deeper understanding of more complex algebraic topics.  Topics include solving linear equations and inequalities systems of equations and inequalities operations with polynomial expressions simplifying radicals and solving quadratic equations.  The course also reviews the concepts needed for students to be successful on college placement exams.,Mathmatics,90
INTERMEDIATE ALGEBRA (329),Successful completion of Geometry.,5.0,Full Year,10-12,False,False,In Intermediate Algebra algebraic concepts and skills that were introduced in Algebra 1 and Geometry will be developed and applied to additional real-world scenarios. Students will gain a deeper understanding of functions especially nonlinear functions and their applications. Instruction in this course is supported by the use of technology namely graphing calculators and web-based resources. This course will focus on the big ideas and broad principles of Algebra with assessments that are aligned to intended instructional outcomes. Applicable geometric concepts will be woven into various units.,Mathmatics,91
ALGEBRA 2 LAB CP (318),Successful completion of Geometry.,10.0,Full Year,11-12,False,False,After a brief review of prerequisite skills learned in Algebra 1 instruction in this course focuses on the study of nonlinear functions: polynomial exponential logarithmic radical and rational.  The course also extends the study of algebra from real numbers to the complex number system.  Emphasis is placed on understanding the behavior and characteristics of functions numerically analytically and graphically.  Applications are made through word problems and will integrate algebra skills and geometric concepts.  This course will be taught in a double period which includes a lab component.,Mathmatics,92
ALGEBRA 2 CP (332),Successful completion of Geometry.,5.0,Full Year,9-12,False,False,After a brief review of prerequisite skills learned in Algebra 1 instruction in this course focuses on the study of nonlinear functions: polynomial exponential logarithmic and radical.  The course also extends the study of algebra from real numbers to the complex number system.  Emphasis is placed on understanding the behavior and characteristics of functions numerically analytically and graphically.  Applications are made through word problems and will integrate algebra skills and geometric concepts.   Students who intend to double up in Geometry and Algebra 2 must take both courses at the CP level.,Mathmatics,93
ALGEBRA 2 HONORS (320),Successful completion of Geometry.,5.0,Full Year,9-12,False,True,Completion of a summer assignment is required for this course. This course will provide a rigorous and comprehensive background for students of high mathematical ability who eventually plan to take AP Calculus. A grade in the A range in Algebra 1 and teacher recommendation are good predictors for success in this course. The curriculum includes the study of linear and nonlinear functions (polynomial exponential logarithmic and rational).  The course also extends the study of algebra from real numbers to the complex number system.  Students must demonstrate their grasp of essential concepts through their interactions with each other.  Challenge problems projects calculator labs and group work extend and expand text material and provide the opportunity for students to communicate mathematical understanding.  Students who intend to double up in Geometry and Algebra 2 must take both courses at the CP level.  Students must complete the Algebra 2 Honors placement test as a qualifier for open enrollment. For students enrolling in an AP or Honors level Mathematics course for the first time: A one week LPS Bridge Course to support your transition to the rigor of this level of coursework is available during August 2025 as part of the LPS Summer Academy. Click here to learn more and check the LPS Website for more information and to register.,Mathmatics,94
APPLICATIONS OF MATHEMATICS (374),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,,False,False,This course is designed for seniors.  Individualized reinforcement of topics on State mandated assessments real-life uses of problem solving and computational skills are stressed in this course. The course also reviews the concepts needed for students to be successful on college placement exams.,Mathmatics,95
PRECALCULUS CP (342),Successful completion of Algebra 2.,5.0,Full Year,10,False,False,Completion of a summer assignment is required for this course. This course provides necessary mathematics knowledge for students interested in continuing mathematical studies in college.  The curriculum extends the study of linear and nonlinear functions.  Other topics include trigonometry sequences and series and conic sections. Real life applications are integrated throughout the year. Students cannot complete Precalculus CP and then take AP Precalculus. The reason for this is that the curricula are very similar.  If a student completes Precalculus CP they should then take AP Calculus AB if they did well in the course or Calculus CP otherwise.,Mathmatics,96
COLLEGE ALGEBRA AND TRIGONOMETRY (345),Successful completion of Algebra 2 CP or Intermediate Algebra CP.,5.0,Full Year,11-12,False,False,This course is for students not taking Pre-Calculus but who are interested in obtaining additional knowledge of mathematics.  College Algebra and Trigonometry expands on the topics of functions and their graphs introduced in Algebra 2.  The course investigates trigonometric functions and their applications.,Mathmatics,97
COLLEGE MATH SEMINAR (348),Successful completion of Algebra 2 CP or Intermediate Algebra.,5.0,Full Year,,False,False,This is a survey course intended for seniors who wish to obtain additional mathematics knowledge.  The course provides an introduction of discrete math topics encountered in Liberal Arts college curriculum such as probability informal statistics graph theory election theory logic fair division and cryptology.,Mathmatics,98
PRECALCULUS HONORS (331),Successful completion of Algebra 2.,5.0,Full Year,10-12,False,True,Completion of a summer assignment is required for this course.This is a rigorous course which includes instruction in trigonometry analytic geometry matrices linear and nonlinear functions sequences series and an introduction to limits.  Students must demonstrate their grasp of essential concepts through their interaction with each other.  Challenge problems calculator labs video presentations and group work extend and expand text material and provide opportunities for students to communicate mathematical understanding.  A minimum grade of B or higher in Algebra 2 Honors is a good predictor for success in this course.  This course is a suggested prerequisite for the AB level of Advanced Placement Calculus.Students cannot complete Precalculus Honors and then take AP Precalculus. The reason for this is that the curricula are very similar.  If a student completes Precalculus Honors they should then take AP Calculus AB if they did well in the course or Calculus CP otherwise.For students enrolling in an AP or Honors level Mathematics course for the first time: A one week LPS Bridge Course to support your transition to the rigor of this level of coursework is available during August 2025 as part of the LPS Summer Academy. Click here to learn more and check the LPS Website for more information and to register.,Mathmatics,99
AP PRECALCULUS (354),Successful completion of Algebra 2.,5.0,Full Year,10-12,True,False,Completion of a summer assignment is required for this course.AP Precalculus will focus on the study of functions and how they can model various phenomena. This course will provide students with the skills needed to complete more advanced coursework in mathematics including Calculus CP and AP Calculus AB.  Students will study functions using the four-pronged approach followed in AP Calculus through multiple representations (graphical numerical verbal and analytical). This will ensure a deeper understanding of concepts that will help students to engage with both familiar and novel contexts.  Topics reviewed and explored in this course include polynomial and rational functions exponential and logarithmic functions trigonometric and polar functions functions involving parameters vectors conics and matrices.  Students must demonstrate their grasp of essential concepts through their interaction with each other.  Challenge problems calculator labs video presentations and group work extend and expand text material and provide opportunities for students to communicate mathematical understanding.  A minimum grade of B+ or higher in Algebra 2 Honors or a minimum of A- or higher in Algebra 2 CP can be good predictors for success in this course. Students who have taken Algebra 2 CP as their prerequisite are reminded that registering for AP Precalculus constitutes a “double jump” of levels (from CP → to AP) and will require administrative approval.This course is a suggested prerequisite for the AB level of Advanced Placement Calculus. It is expected that all students take the AP Precalculus exam in May.Students cannot complete Precalculus Honors and then take AP Precalculus. The reason for this is that the curricula are very similar.  If a student completes Precalculus Honors they should then take AP Calculus AB if they did well in the course or Calculus CP otherwise.,Mathmatics,100
CALCULUS CP (347),Successful completion of Pre-Calculus.,5.0,Full Year,11,False,False,Completion of a summer assignment is required for this course. This course is designed for students who have completed the traditional four-year college prep sequence in mathematics before their senior year in high school.  The course incorporates topics from Pre-Calculus and enables the student to hone his/her algebra skills and techniques and to extend his/her knowledge of analytic geometry.  The course also focuses on helping students to develop an understanding of the derivative and its applications and introduces students to some of the techniques and applications of integration.  Students will work with real-life applications and data to model the use of calculus to solve problems in areas such as business economics management and/or the social and life sciences.,Mathmatics,101
AP CALCULUS AB (351),Successful completion of Pre-Calculus.,5.0,Full Year,10-12,True,False,Completion of a summer assignment is required for this course.This course is recommended to students with a strong four-year background in college prep mathematics.  The curriculum includes theory of limits continuity mean value theorem properties and applications of differentiation and integration.  This Advanced Placement course is taught at a college level.  Students must possess a strong interest in mathematics and be willing to devote extra time to this course.  A minimum grade of B or higher in AP Precalculus or a B+ or higher in Precalculus CP and teacher recommendation can be good predictors for success in this course.,Mathmatics,102
AP PRECALCULUS WITH INTRODUCTION TO CALCULUS BC (355),Successful completion of Algebra 2 Honors.,5.0,Full Year,10-11,True,False,Completion of a summer assignment is required for this course.AP Precalculus will focus on the study of functions and how they can model various phenomena. This course will provide students with the skills needed to complete more advanced coursework in mathematics. Students will study functions using the four-pronged approach followed in AP Calculus through multiple representations (graphical numerical verbal and analytical).  This will ensure a deeper understanding of concepts that will help students to engage with both familiar and novel contexts.  Topics reviewed and explored in this course include polynomial and rational functions exponential and logarithmic functions trigonometric and polar functions functions involving parameters vectors conics and matrices. Students must demonstrate their grasp of essential concepts through their interaction with each other.  Challenge problems calculator labs video presentations and group work extend and expand text material and provide opportunities for students to communicate mathematical understanding.  A minimum grade of B+ or higher in Algebra 2 Honors can be a good predictor for success in this course.  This course is a prerequisite for the BC level of Advanced Placement Calculus. Therefore it will include an additional in-depth unit on limits continuity and the derivative. It is expected that all students take the AP Precalculus exam in May.,Mathmatics,103
